Frame Number	Person index	BBox	2D KeyPoints	Root Position	3D KeyPoints	Head Vector	Head Yaw Pitch Roll	Heat Map Points
36	[2]	[[-23.28703262400893, 521.2, 666.487032624009, 558.8]]	[[[7.500993728637695, 451.4414367675781], [63.16856002807617, 780.1228637695312], [226.10060119628906, 797.4053955078125], [519.7098999023438, 1058.9833984375], [609.7545166015625, 1061.2567138671875], [57.31898498535156, 737.97900390625], [257.7811279296875, 939.019775390625], [168.23728942871094, 893.1893310546875], [525.5740356445312, 1029.631591796875], [328.6243896484375, 853.5543212890625], [454.77703857421875, 1021.503173828125], [466.8734130859375, 1035.92529296875], [270.03857421875, 802.5700073242188], [418.8785095214844, 979.9275512695312], [490.8258972167969, 1036.6168212890625], [109.02005004882812, 903.3563232421875], [0.3646998107433319, 654.9805908203125], [603.23291015625, 1061.6971435546875], [127.82281494140625, 902.3074340820312], [469.66986083984375, 1057.66015625], [415.218994140625, 995.1940307617188]]]	[[-1240.1629162733886, 1165.57308022267, 2639.2951070749723]]	[[[3072.6642238096324, -319.86854124266165, 1868.012393682472], [2585.8643526964465, -253.81794234545484, 2303.449351297077], [2350.1322856425236, -400.4605899543724, 2188.2681865144064], [1647.0560800943417, -751.5505678298773, 2329.1253966814643], [1448.3393184038694, -703.260744162903, 2253.5809817047684], [2646.8698174603883, -141.7163197897167, 2244.083294955568], [2076.96500808918, -165.31063853899795, 2383.5518414593557], [2239.53118081571, 171.55261709350063, 2400.4814667595824], [1629.0368838633642, -652.3104579408706, 2280.1928586326458], [2105.625980396964, -326.6030429860184, 2176.9194365451212], [1586.396529446289, -152.7301409242939, 2338.04101980601], [1670.334717902044, -497.04761981879165, 2344.2085838854714], [2233.3615545591874, -80.01947198664212, 2139.8170583737074], [1723.234518585421, -163.41912377325644, 2299.768485170681], [1655.9377193720213, -578.6992699464638, 2322.545993499627], [2361.2408845774034, -198.3184873519558, 2452.200007041416], [2828.0443714241474, -183.00275617415954, 2169.683248147664], [1393.8039067068382, -568.0414369190188, 2258.9160724245558], [2276.2087114531987, 330.3340391899972, 2462.527118095336], [1468.293519950766, -64.35646914193394, 2391.4691337647905], [1647.244348288786, 27.48307323244902, 2333.399279499669]]]			
37	[2]	[[-42.55455175732595, 504.2984603374908, 685.6022856342403, 575.7015396625093]]	[[[22.852441787719727, 422.4350891113281], [84.4758529663086, 742.6153564453125], [262.957275390625, 763.2070922851562], [523.0591430664062, 1054.382568359375], [617.9043579101562, 1049.8916015625], [-10.410304069519043, 709.9820556640625], [329.09710693359375, 955.6228637695312], [236.99061584472656, 882.956298828125], [476.4258117675781, 1031.2900390625], [322.056396484375, 801.8732299804688], [473.30316162109375, 1004.321533203125], [217.44775390625, 1046.98291015625], [282.4202880859375, 776.5979614257812], [453.5528869628906, 983.3841552734375], [322.6177978515625, 1040.3499755859375], [82.57571411132812, 897.659423828125], [40.852413177490234, 597.9057006835938], [619.89697265625, 1051.5850830078125], [217.35772705078125, 879.810302734375], [478.4749450683594, 1061.715087890625], [424.247314453125, 996.7302856445312]]]	[[-1227.7307650786959, 1167.2401553350155, 2635.507482339639]]	[[[2418.6999311121444, -689.6644450512248, 1462.2364558175273], [2219.104455141858, -567.066428134202, 1983.7346513918064], [1961.9402277552174, -551.2650764676393, 1959.0220559400832], [1387.9404812161108, -603.2484853284178, 2334.513489331887], [1239.857611881083, -497.76642808875124, 2313.517409077736], [2342.38304710291, -548.5460995946223, 1914.6346496359638], [1872.574726199979, -321.68783712667556, 2270.2596925763287], [2106.140995804035, -157.57179452835265, 2200.1372890624134], [1446.157852258166, -549.8470192350146, 2292.3148596841265], [1871.96088745404, -425.04492146661187, 1999.8313744214015], [1587.3879595682845, -155.75447015513697, 2337.829629095278], [1754.6858576333038, -551.2205011721837, 2331.7091030486463], [2047.2474151786191, -270.40726922102, 1951.9291582165704], [1657.2467403291937, -188.70896604130826, 2288.050183524784], [1623.3594286782497, -562.8268007993108, 2316.3211890662174], [2152.278976777488, -509.66971565998284, 2213.2192135032965], [2389.3157646356995, -552.1603240129596, 1767.1639692104125], [1258.052142205374, -375.5449289156714, 2336.1749155691828], [2189.7901136190508, -59.188953543339096, 2230.354561810856], [1578.0837066035194, -58.3493535295179, 2448.4933317239], [1723.86034024112, -45.30921083377768, 2335.5831634223164]]]	[[-0.8077505849417923, -0.11479189847685965, -0.5776969082039151]]	[[-82.62501525878906, -178.44036865234375, 178.0683135986328]]	
38	[2]	[[-77.07128259045828, 472.54654108493696, 720.827545790253, 607.453458915063]]	[[[28.513704299926758, 413.4754638671875], [90.28263092041016, 712.5509643554688], [274.922119140625, 734.8923950195312], [531.8916625976562, 1033.5216064453125], [578.9592895507812, 996.8074951171875], [-49.38249969482422, 683.15869140625], [207.7963409423828, 855.6132202148438], [323.417724609375, 915.9735107421875], [412.5048828125, 1053.8172607421875], [440.7576599121094, 924.7802124023438], [435.08905029296875, 1090.7545166015625], [83.61194610595703, 1121.2724609375], [331.15911865234375, 812.9721069335938], [377.1307373046875, 1026.422607421875], [189.6512451171875, 1100.489990234375], [104.84463500976562, 915.1063842773438], [64.6127700805664, 574.0545654296875], [577.4738159179688, 1001.7687377929688], [334.7742004394531, 923.9671020507812], [499.37725830078125, 1142.1099853515625], [423.7623291015625, 1051.8897705078125]]]	[[-1187.2203624749218, 1190.2224883381175, 2571.848238578838]]	[[[2128.173189443695, -861.795713268067, 1432.3077581993814], [2019.1929898406474, -700.8628454800804, 1935.9300585311892], [1742.7577517508598, -649.9839291909616, 1933.9943960031837], [1226.1432908510262, -598.0319478299132, 2351.0135530741], [1139.631705020956, -475.58991809280457, 2322.698197099133], [2170.580215222617, -726.5136550197294, 1873.1474809548856], [1829.3967931337302, -421.74920308803246, 2205.9831134228034], [1945.457682291208, -249.01725594591068, 2199.917594055806], [1354.4024330499403, -560.730199224111, 2337.3685298724004], [1710.9585508170398, -397.24868795876546, 2073.1190649850814], [1577.6234560922132, -149.27664135185992, 2417.8685808319597], [1783.5678599684193, -600.0340096237508, 2406.2985158089637], [1905.6789561334585, -331.0277619044786, 1964.2180597153456], [1651.3108489162269, -206.65646298572415, 2337.5296959973657], [1615.5910823959418, -599.2413335987866, 2381.3460075565235], [1980.5897973540611, -627.2676118820863, 2203.5803417154843], [2155.04597119483, -709.0020101162385, 1708.5980144454904], [1178.8751816065287, -362.405043725025, 2344.388065213038], [2011.9602984952362, -164.26055304125728, 2226.148622467542], [1561.6465534120352, -23.415683145285385, 2536.989008837528], [1712.3903875159626, -48.33543308736405, 2395.2858068938167]]]	[[-0.7734624827422077, -0.11186026299908704, -0.6217294605606946]]	[[-79.00277709960938, -0.23065948486328125, -0.36864471435546875]]	
39	[2]	[[-114.63864815274462, 437.8961614829422, 757.1889914709371, 642.1038385170577]]	[[[68.74600219726562, 390.4219055175781], [99.92498779296875, 688.4002685546875], [291.7977600097656, 701.1067504882812], [537.315673828125, 1024.7025146484375], [573.8018188476562, 994.621337890625], [-53.215431213378906, 660.6387939453125], [245.86355590820312, 864.0519409179688], [369.7130432128906, 871.291259765625], [339.72235107421875, 1053.3616943359375], [524.5245361328125, 990.4049682617188], [515.8739624023438, 1063.5548095703125], [70.60482788085938, 1115.4224853515625], [380.2528381347656, 889.3847045898438], [469.37603759765625, 1059.8927001953125], [151.37107849121094, 1101.330078125], [106.1924057006836, 918.3854370117188], [75.108642578125, 559.8281860351562], [560.3838500976562, 979.5369262695312], [381.384765625, 862.1044311523438], [546.6544799804688, 1084.62890625], [449.7610778808594, 1035.04296875]]]	[[-1157.4053436052532, 1193.2155284408339, 2565.703254408952]]	[[[1850.5269163174446, -938.8016819391878, 1383.000752466025], [1812.109428446072, -775.8899281427116, 1884.0422675874263], [1536.1192204134445, -680.1332363925671, 1901.904779143038], [1118.513952446093, -534.3731036400994, 2362.1925805842448], [1070.3259912596657, -414.49218714863446, 2327.469025659991], [1967.9893330641582, -845.0047320978093, 1817.6088160067757], [1728.6175218127685, -478.8637047860889, 2151.2207486987922], [1788.6844810334624, -298.00643428225044, 2154.7899806600217], [1298.1973285093563, -557.2486460520795, 2350.3859114131697], [1568.3068735234547, -342.9933393243276, 2129.3444526129724], [1542.5455577796574, -120.25926090889413, 2419.2613298105607], [1752.071882125945, -655.1544237395502, 2409.2525388606527], [1787.232183920057, -341.42436266761, 1981.7834992069309], [1609.472822836584, -185.3701762723315, 2353.821071047341], [1577.29650166415, -635.3286317250385, 2390.7182012319786], [1812.6293648548515, -695.6137059468626, 2181.35729606719], [1917.7847521721267, -800.6038732831283, 1651.1525763704822], [1131.5541837849, -318.2016157398902, 2332.774240699463], [1851.1437361319242, -223.53667985739597, 2166.675079525254], [1527.740942030951, -7.854359161764279, 2521.8536415015287], [1692.7279121311108, -60.755067994363294, 2380.0745676463557]]]	[[-0.7829898465926433, -0.10378852328546141, -0.6116834106114777]]	[[-76.66647338867188, 59.260013580322266, -59.89436721801758]]	[[1.8711671879455916, -0.05990295479033448, 2.2689976035577515]]
40	[2]	[[-103.82887014961534, 443.6955439214548, 745.9427671809469, 636.3044560785452]]	[[[73.62496185302734, 365.630126953125], [127.75022888183594, 666.2213134765625], [311.7758483886719, 658.40625], [510.5354919433594, 972.2399291992188], [586.2669677734375, 987.5134887695312], [-38.18181228637695, 666.1823120117188], [151.2959442138672, 818.5651245117188], [379.2044982910156, 864.2607421875], [347.655517578125, 1074.5123291015625], [475.2059020996094, 1000.3938598632812], [510.435302734375, 1054.401611328125], [104.4136734008789, 1134.71875], [357.44757080078125, 883.1094360351562], [466.8797302246094, 1061.0355224609375], [186.00074768066406, 1119.174560546875], [141.75735473632812, 939.0880737304688], [128.18118286132812, 552.7321166992188], [599.3194580078125, 990.5043334960938], [406.8454895019531, 840.14990234375], [551.6117553710938, 1049.8995361328125], [463.4559020996094, 1052.8363037109375]]]	[[-1137.2331142031053, 1193.389307828503, 2566.958802403554]]	[[[1712.1461353290094, -977.493400787035, 1325.4833512404587], [1707.3719347491412, -810.4508405244252, 1826.836600690154], [1428.9993201381578, -696.8934105705747, 1847.0552053849756], [1069.3017548749217, -514.7102137500185, 2332.1911447598673], [1035.4388089933686, -381.9555996831399, 2313.624571101428], [1879.3152808761185, -900.869654748543, 1766.9419534800365], [1711.3315866998757, -533.5493836988616, 2085.1347221452784], [1706.0055971070876, -321.1484353485925, 2115.3264319531263], [1278.862173435565, -555.9476905233175, 2351.254193255019], [1515.9430130359824, -319.3915655031228, 2155.4003150034696], [1524.6706538036183, -103.59065606260648, 2413.786771478621], [1738.3101128468447, -675.2936619675147, 2409.5934658178257], [1741.4226833627513, -345.36504198410387, 1981.0023084724123], [1590.6153968000149, -169.89841442722727, 2361.530985339767], [1559.0069240061155, -647.9651485394077, 2392.084385848729], [1719.815651409227, -727.4998842250214, 2160.3161215427826], [1802.6559655046115, -831.0142379915926, 1593.2772983479094], [1094.8450056023976, -290.52858106943654, 2319.970827913755], [1759.206477699026, -247.74976535242706, 2114.4559001053135], [1507.7356124630007, 5.0485960472279565, 2497.0382898439366], [1680.8119219964387, -56.9901296426482, 2380.185377248666]]]	[[-0.7829898465926433, -0.10378852328546141, -0.6116834106114777]]	[[-76.66647338867188, 59.260013580322266, -59.89436721801758]]	[[1.7539678820112752, -0.05856730835090706, 2.2544256604930877]]
41	[2]	[[-82.11409498603427, 459.08609519281976, 724.0762162998626, 620.9139048071802]]	[[[110.77114868164062, 360.26934814453125], [156.02157592773438, 643.1644897460938], [326.36871337890625, 632.3741455078125], [505.26776123046875, 931.587158203125], [587.5635375976562, 967.5888671875], [-6.991443634033203, 641.7280883789062], [82.00384521484375, 823.015869140625], [354.1639404296875, 899.570068359375], [376.3675842285156, 1077.1905517578125], [496.03204345703125, 961.1490478515625], [465.876953125, 1137.718994140625], [123.20439910888672, 1117.426513671875], [373.3767395019531, 901.1105346679688], [377.1851501464844, 1146.892822265625], [222.29483032226562, 1099.8726806640625], [157.17735290527344, 897.3236083984375], [155.34051513671875, 514.1066284179688], [604.3187866210938, 983.474365234375], [399.5831604003906, 875.4464721679688], [519.9641723632812, 1155.7061767578125], [432.38409423828125, 1140.97314453125]]]	[[-1093.0206357314, 1216.5484090659936, 2503.106359736098]]	[[[1391.4033177335107, -1220.4911643560713, 1301.839008971645], [1496.212344457779, -996.2098531765, 1775.4505492302007], [1206.2781434496735, -847.9875080453867, 1811.4868102520963], [934.9359929246403, -524.7595809959134, 2340.849595490735], [926.6932828334204, -369.1560726372343, 2339.6928907284614], [1705.9615455294543, -1121.3264282917935, 1734.0057778012924], [1675.8787055335101, -669.5031183099168, 2056.6470887653077], [1555.1966146088369, -470.1361956563825, 2090.6510989549465], [1195.2027191451941, -560.4717879904281, 2413.2425252306043], [1350.5604903535561, -325.89376389987643, 2185.1075929571975], [1487.3234555889053, -89.55948698377445, 2471.1717052990703], [1739.6941431133778, -709.6469921639093, 2479.0427130947605], [1609.4615705442604, -412.92709931519994, 2000.4442626169666], [1556.2847612575893, -167.4913879059104, 2434.4655542080645], [1523.2484739808299, -669.9068786336501, 2457.505231845309], [1544.6982972890733, -885.3952302943611, 2150.2328913537053], [1548.761959233112, -1050.9957515570936, 1530.3884716029966], [999.0439070232198, -287.0344620916539, 2346.1723888646598], [1602.0088734560475, -408.2095546431294, 2061.143684346725], [1479.022128354206, 22.345190134233256, 2546.7530553427373], [1664.1313543101346, -53.60617099669396, 2439.704856242186]]]	[[-0.7135705694063538, -0.10931592656876978, -0.6731670224523791]]	[[-72.43607330322266, 89.05184936523438, -89.65190124511719]]	
42	[2]	[[-78.35591247401555, 459.35967720175717, 718.89730206369, 620.6403227982428]]	[[[133.5531005859375, 354.1100769042969], [176.53729248046875, 617.0217895507812], [348.3718566894531, 620.8562622070312], [507.0874938964844, 884.9461669921875], [583.8729858398438, 950.6757202148438], [15.726696968078613, 596.41796875], [103.99729919433594, 812.7430419921875], [344.8159484863281, 878.1632690429688], [406.2974548339844, 1073.720703125], [501.50067138671875, 1033.7510986328125], [492.3139953613281, 1158.8897705078125], [154.79241943359375, 1108.6563720703125], [336.4373779296875, 936.4111938476562], [366.8894348144531, 1168.1241455078125], [277.5707092285156, 1093.5614013671875], [181.0327606201172, 860.5535888671875], [179.1834259033203, 495.044189453125], [601.703369140625, 980.7396240234375], [352.9900207519531, 889.9954833984375], [503.8058776855469, 1166.7637939453125], [375.1016540527344, 1173.0184326171875]]]	[[-1064.3909494508196, 1242.2397351406726, 2430.4871814290755]]	[[[1332.2198493833832, -1321.1614446356182, 1457.3545546121995], [1423.2180125830414, -1063.6088447875363, 1866.6918120049677], [1128.2598130263982, -938.6161148751879, 1886.3460254437634], [903.0571923987559, -588.8492680838383, 2352.547712525198], [905.6925613504221, -423.16476545394687, 2349.605278960161], [1646.967472065859, -1192.8270561790835, 1843.005755841769], [1712.5155481277554, -749.4777150048991, 2085.022331367763], [1464.7547432042547, -489.6468695976292, 2148.731982750665], [1181.8274838967004, -583.0511125745902, 2481.396605021074], [1285.4669041974641, -261.1428038012878, 2311.6117509592054], [1430.4078677256057, -76.49324743021887, 2537.14997524173], [1704.9382424096418, -707.141633567261, 2561.775536707816], [1564.9131144667265, -404.77104321076825, 2115.9426808750018], [1547.775805293209, -154.74736290808258, 2521.690756482951], [1490.5889465716232, -676.7716001759477, 2534.2781105740683], [1450.187166115306, -914.258601385361, 2244.397436883353], [1460.098182311855, -1133.8823391242036, 1644.9752996995164], [960.3585927240321, -345.2406283335613, 2352.116927845577], [1500.5690531583064, -414.09752075662436, 2114.4792198219648], [1413.2217410982707, 38.88092485352274, 2576.5509700044768], [1631.1286310321796, -33.86556590448565, 2511.067257627983]]]	[[-0.618642132710465, -0.11232637801304451, -0.7538731266722257]]	[[-65.58255004882812, 178.17105102539062, -178.79107666015625]]	
43	[2]	[[-57.51040475711534, 475.4456033514189, 696.8703024742259, 604.5543966485811]]	[[[113.7159423828125, 368.86761474609375], [182.7482452392578, 588.4606323242188], [355.63787841796875, 593.993896484375], [510.3923645019531, 858.0411987304688], [587.4592895507812, 936.3145751953125], [32.58295440673828, 580.5101318359375], [42.8873291015625, 945.0524291992188], [263.8721618652344, 955.8583374023438], [399.8426208496094, 1051.9862060546875], [524.923583984375, 1063.7196044921875], [533.6769409179688, 1180.0634765625], [158.9800567626953, 1068.52392578125], [402.7040710449219, 963.100830078125], [370.81396484375, 1153.5057373046875], [281.8976745605469, 1066.8763427734375], [215.69992065429688, 853.5550537109375], [187.91738891601562, 479.745849609375], [608.7387084960938, 966.5799560546875], [331.9683837890625, 929.1629638671875], [554.5648803710938, 1178.402587890625], [413.6800842285156, 1164.119384765625]]]	[[-1039.1740019164672, 1255.0306622925066, 2395.290827339236]]	[[[1307.3240386218924, -1405.7737146410007, 1574.4998263610512], [1370.289974426918, -1138.2547601320218, 1937.371933809709], [1087.2634110659671, -1019.2207946395562, 1940.3370661772815], [904.6264906944369, -643.1045935436102, 2359.962160324711], [896.3624646489757, -459.0686281039698, 2368.405258261869], [1607.6163014558954, -1255.8542293884502, 1923.3525071333518], [1710.2384557151609, -809.8468041476322, 2189.0494270307486], [1456.0512151935895, -530.3246445459766, 2204.545207828393], [1178.2817723726648, -595.1246016262052, 2527.2165491404303], [1248.5627472717645, -242.02741622390224, 2372.188626351162], [1364.4829816660076, -59.203896910965774, 2557.5227375032373], [1659.4373100190496, -703.5567446845697, 2592.0567635977254], [1534.4733801554062, -396.101731793006, 2195.3239876969933], [1526.0391992099644, -144.63942651670015, 2571.5748661245802], [1446.7818369142158, -671.9324284909892, 2569.483240730077], [1394.7154984613967, -943.6543853380794, 2304.570573607328], [1393.3799238057413, -1220.3460685418718, 1736.7579864620088], [936.2789180741302, -379.61075021450984, 2368.543406185178], [1480.6861758804134, -447.49761755684784, 2146.2173419694104], [1359.0836878215753, 41.81148087588559, 2562.647075787782], [1605.9642983758376, -27.045679040960607, 2538.8262920857887]]]	[[-0.5273763340369433, -0.11145437648696335, -0.8201512973664562]]	[[-59.60933303833008, 178.02975463867188, -178.5230255126953]]	
44	[2]	[[-81.2746801844171, 449.1849703745645, 720.2173699255793, 630.8150296254355]]	[[[181.84942626953125, 344.4159851074219], [199.2926788330078, 569.1724853515625], [369.9316101074219, 571.8525390625], [506.4237060546875, 839.9281005859375], [583.0189208984375, 922.3638916015625], [27.624841690063477, 574.7764282226562], [31.639856338500977, 873.5538330078125], [278.6067810058594, 970.8787231445312], [409.0773620605469, 1049.7562255859375], [550.814453125, 1056.4375], [560.7067260742188, 1177.7105712890625], [170.98712158203125, 1058.6998291015625], [443.6513671875, 956.95166015625], [441.92498779296875, 1120.3310546875], [299.5103759765625, 1056.40283203125], [228.1466522216797, 811.908447265625], [225.76365661621094, 458.7594909667969], [599.5486450195312, 945.67041015625], [327.38250732421875, 959.0033569335938], [593.689208984375, 1179.829833984375], [481.2016906738281, 1142.970703125]]]	[[-1001.6128697730306, 1273.459289840702, 2344.6889143200638]]	[[[1326.7232485503664, -1486.4573641402292, 1688.087451506852], [1363.2747286867625, -1199.899049922643, 2011.8014567000203], [1079.1328339040315, -1102.352416338481, 1998.243448609527], [903.1672220890576, -730.4191773999905, 2360.2909749022083], [891.5199279928376, -514.8029714927426, 2381.9666220967883], [1623.6246838916845, -1301.2989241085709, 2017.2155701038532], [1755.7779618454508, -889.5354093421256, 2282.224136423996], [1493.3904879380304, -564.8570342500386, 2293.3708001976643], [1167.9306217111236, -601.6750131762379, 2577.993710626964], [1251.007239170625, -243.5076418538995, 2413.354952996419], [1313.482330585728, -58.41927615183644, 2609.9072568035344], [1634.1284985277355, -681.4646722347281, 2641.120314936154], [1533.0581848354277, -387.054750933343, 2251.5868044339613], [1510.9473009685198, -157.07118899568331, 2612.6521963254227], [1413.6578545071984, -648.629348286454, 2615.9620234354657], [1374.8996865821093, -966.5194181972457, 2360.767529848817], [1371.5245687815132, -1286.5804767703028, 1828.8316529869112], [912.3223477877546, -426.8594117790228, 2390.9885840317393], [1508.5772333823688, -473.31227455862944, 2228.551277895306], [1307.9440897792754, 44.824092060593365, 2600.6989844507625], [1562.6252731610543, -18.311607440822943, 2594.322010764576]]]	[[-0.43787875682705923, -0.11552341790904717, -0.8970906344199747]]	[[-53.85680389404297, 177.6854705810547, -178.01126098632812]]	
45	[2]	[[-102.12259350511226, 422.655924168507, 741.5869530089647, 657.344075831493]]	[[[196.7032470703125, 324.952880859375], [211.7305450439453, 564.7334594726562], [386.4649963378906, 556.1997680664062], [499.43524169921875, 828.5780639648438], [590.4611206054688, 897.4432983398438], [30.609790802001953, 571.6310424804688], [11.49341869354248, 830.5084228515625], [106.20609283447266, 893.72119140625], [413.3781433105469, 1039.68359375], [560.1597290039062, 1040.157958984375], [525.6696166992188, 1165.826904296875], [175.79214477539062, 1039.02099609375], [294.94415283203125, 945.7965087890625], [400.1960144042969, 1112.6875], [297.4787902832031, 1038.6304931640625], [228.19224548339844, 794.162109375], [237.74220275878906, 449.9396057128906], [611.9615478515625, 912.9830322265625], [210.95001220703125, 882.005126953125], [544.8507080078125, 1176.0167236328125], [366.00787353515625, 1149.3287353515625]]]	[[-999.7300618357831, 1293.0876062045577, 2287.459667165784]]	[[[1356.7756673781937, -1579.2786000773685, 1838.1839348640788], [1367.2858274092591, -1271.4955327752184, 2123.6303420221775], [1077.3307015912899, -1198.4761966464048, 2100.92204689978], [903.554887806112, -816.7196917432661, 2405.441424982318], [889.0306920410925, -580.9574439223371, 2411.116994109412], [1637.377856007328, -1355.882884738481, 2145.331441470606], [1797.5357313800275, -942.0348902827454, 2407.527098869887], [1598.5417347952398, -635.0886503716459, 2387.9880265415063], [1153.9908194318202, -610.4087292900103, 2639.9377762000827], [1221.9561865019082, -236.3798493411998, 2459.982343116712], [1273.0973981280827, -60.29639327196258, 2669.031553412878], [1616.4799132761693, -664.4723054774012, 2695.959815739552], [1574.3945866805211, -398.1658778902544, 2330.0021981010614], [1505.51219991801, -174.81934995642965, 2661.7161947004624], [1390.6783947985862, -632.4131703081335, 2669.830846047629], [1370.4270840029446, -1000.8952213343432, 2431.707744411639], [1357.6663503341138, -1379.7336759208663, 1954.265697419127], [902.5460700133623, -488.95890799406556, 2414.08821223364], [1597.763915388908, -529.756710074522, 2313.4841164588565], [1273.7123214622932, 39.70909285647847, 2657.5524669037704], [1558.4142651010857, -33.95483527729857, 2654.751777513606]]]	[[-0.4219967619304794, -0.1136302981460077, -0.9054208065512508]]	[[-52.6368293762207, 177.49807739257812, -177.75343322753906]]	
