Person index,3D KeyPoints,hm,state,is_in_cashier_zone,dis_kp
2,"[[3072.66422381 -319.86854124 1868.01239368]
 [2585.8643527  -253.81794235 2303.4493513 ]
 [2350.13228564 -400.46058995 2188.26818651]
 [1647.05608009 -751.55056783 2329.12539668]
 [1448.3393184  -703.26074416 2253.5809817 ]
 [2646.86981746 -141.71631979 2244.08329496]
 [2076.96500809 -165.31063854 2383.55184146]
 [2239.53118082  171.55261709 2400.48146676]
 [1629.03688386 -652.31045794 2280.19285863]
 [2105.6259804  -326.60304299 2176.91943655]
 [1586.39652945 -152.73014092 2338.04101981]
 [1670.3347179  -497.04761982 2344.20858389]
 [2233.36155456  -80.01947199 2139.81705837]
 [1723.23451859 -163.41912377 2299.76848517]
 [1655.93771937 -578.69926995 2322.5459935 ]
 [2361.24088458 -198.31848735 2452.20000704]
 [2828.04437142 -183.00275617 2169.68324815]
 [1393.80390671 -568.04143692 2258.91607242]
 [2276.20871145  330.33403919 2462.5271181 ]
 [1468.29351995  -64.35646914 2391.46913376]
 [1647.24434829   27.48307323 2333.3992795 ]]",0,1,0,"[2293.8597724693373, 1746.032481498045, 1652.3359558278928, 820.7601376842267, 548.463003028211, 1684.0757797728493, 1003.5472365209324, 1280.8464735401708, 485.9776087584444, 913.4350228623439, 382.0230833099007, 310.38270425531704, 750.2373382900254, 261.5942365556478, 367.06887980233455, 1409.1094233738797, 2083.9048764836016, 506.9497369287801, 1395.2771032938854, 255.70055146360826, 152.0872387760642]"
2,"[[ 1307.85778893 -1785.21863701  2090.08757523]
 [ 1323.66827474 -1460.25504689  2322.68428096]
 [ 1064.22475952 -1438.080918    2315.48022848]
 [  910.19188832 -1113.04519641  2522.75433062]
 [  912.92186132  -822.17168706  2470.85963604]
 [ 1632.08157142 -1485.70889705  2325.08457432]
 [ 1806.39048293 -1131.69383493  2368.01984828]
 [ 1732.22579134 -1004.54641385  2277.8239499 ]
 [ 1163.7029964   -792.4482808   2581.72236404]
 [ 1193.17246247  -368.93646501  2419.62700108]
 [ 1209.11787115   -92.70972628  2543.44199729]
 [ 1540.54917414  -778.99289063  2603.43918386]
 [ 1504.49725676  -257.81963836  2629.35365116]
 [ 1473.55972172   -85.35478872  2617.06570205]
 [ 1343.15774082  -770.81446335  2586.15586564]
 [ 1317.02177588 -1144.46637223  2492.97832745]
 [ 1296.47720384 -1596.14165431  2229.04267856]
 [  915.29023663  -735.44126762  2463.55442545]
 [ 1696.32885232  -938.73551917  2199.75871811]
 [ 1217.25274801   -15.7632305   2463.03425906]
 [ 1496.05315079    10.99823178  2586.31710037]]",0,1,0,"[269.5108353665096, 221.98157721554946, 281.92862941372505, 267.0623638306432, 251.4231101667206, 91.28550334787091, 64.34878963492322, 123.98040794535294, 231.26395600172458, 160.39915799097517, 216.62030408050555, 150.43792386954945, 239.36980618427845, 126.08333753389978, 207.69775546430066, 215.96639470701894, 248.35174604605953, 258.3124481420499, 178.8748141035117, 188.2645378114205, 179.35928182007004]"
2,"[[ 1554.47775728 -1893.91399843  1796.04785785]
 [ 1534.51453565 -1529.67892521  1914.78800791]
 [ 1326.3192948  -1541.95683753  1900.50943904]
 [ 1143.19565175 -1243.55018637  1938.76042427]
 [ 1094.33242963  -996.25151366  1847.05894502]
 [ 1721.07292687 -1506.04560715  1938.50648034]
 [ 1831.24404978 -1191.04926384  1968.8459102 ]
 [ 1823.88039274  -921.05644081  1931.03201904]
 [ 1350.98239877  -928.1296826   1957.53651369]
 [ 1350.65646124  -399.37788442  1931.66321566]
 [ 1389.88976338    26.64637587  2100.13927504]
 [ 1650.742661    -881.40853587  1920.85595774]
 [ 1611.03731351  -472.17243266  1711.78874827]
 [ 1599.62296599   -87.60566551  1741.1200988 ]
 [ 1497.1034961   -910.23850022  1928.24553663]
 [ 1517.83943368 -1223.92549352  1942.75462023]
 [ 1535.0143058  -1665.26936765  1854.74183326]
 [ 1087.66637172  -927.82574962  1818.94103702]
 [ 1836.66006248  -827.81504957  1908.19460154]
 [ 1381.28188988    76.63794273  1967.51636508]
 [ 1659.18557905   -63.55083142  1606.25195722]]",0,1,0,"[54.56944528717436, 21.604524897577836, 6.696370775115393, 84.16981017071905, 100.59879749925297, 34.04191573825035, 27.652577979196654, 268.6884173901717, 47.10511349303868, 132.2475323938365, 147.21959920675494, 49.404125388690325, 43.070434692357495, 81.56706517192308, 42.64073258366708, 30.429062884623672, 30.533833313614, 93.45014211198892, 350.19401905805506, 118.93745995472958, 109.19764384181494]"
2,"[[ 1512.10171977 -1859.53237828  1146.12721384]
 [ 1513.52185297 -1534.78409608  1283.17364016]
 [ 1330.01440643 -1536.37225773  1296.68569041]
 [ 1226.77941774 -1253.4653771   1399.41697879]
 [ 1194.66349755  -988.91701515  1331.82802598]
 [ 1705.03693302 -1536.07390927  1251.58999924]
 [ 1830.20936467 -1218.68247748  1169.18642536]
 [ 1743.11525978 -1177.31892136  1068.59008701]
 [ 1373.5421235   -969.48123078  1334.33456537]
 [ 1319.25465609  -527.84319669  1129.36305026]
 [ 1405.47219004  -119.74624133  1229.35314318]
 [ 1659.01619913  -930.11496432  1287.03479485]
 [ 1618.47630624  -429.74928176  1259.293606  ]
 [ 1618.92999891    -8.35653554  1369.80649579]
 [ 1514.56244839  -949.14116157  1307.2418176 ]
 [ 1512.10633921 -1253.80959457  1326.51455888]
 [ 1504.75748161 -1669.37297179  1214.17507433]
 [ 1176.4891585   -898.78368341  1314.43104766]
 [ 1735.41135268 -1163.05309895  1032.05369996]
 [ 1353.91354039   -39.10786854  1132.39868728]
 [ 1607.15707644    32.45521181  1223.71559275]]",0,1,0,"[43.324446876006974, 34.171706995464085, 32.10544619226318, 44.19237381366701, 74.45762118277784, 47.49274938537227, 88.02180661645525, 214.51890009616662, 54.9249380627322, 87.97210717067122, 101.24414535292576, 84.75650517856076, 164.12641489590368, 179.40428726763705, 72.26639744762161, 47.69846529224068, 35.30498599334264, 86.27623625259756, 288.49033096988796, 66.9380876256589, 127.94068689483781]"
2,"[[ 1481.71286779 -1828.65317213   435.27110557]
 [ 1487.38821217 -1512.76732116   615.08959247]
 [ 1312.11849768 -1509.71712454   622.30032669]
 [ 1198.91292409 -1219.16633287   686.59878493]
 [ 1121.31107054  -976.13582567   627.12880769]
 [ 1663.35227009 -1513.31539172   585.25305069]
 [ 1748.62977449 -1185.62784229   531.18597118]
 [ 1691.5823892   -969.08174469   456.98936642]
 [ 1327.52892306  -939.48899502   669.06003439]
 [ 1331.00392118  -440.65921646   601.18255289]
 [ 1380.08138853   -21.73764902   678.54303901]
 [ 1574.84335293  -920.18535546   593.31910494]
 [ 1472.48819239  -504.74895297   355.54291172]
 [ 1504.7735441   -146.7552426    556.35746518]
 [ 1444.6857702   -930.71069645   624.77787884]
 [ 1467.58965444 -1236.6804274    646.26988878]
 [ 1478.36053944 -1645.92849525   534.39492217]
 [ 1091.05695763  -886.74507898   608.016768  ]
 [ 1681.43904455  -879.65644932   424.90107328]
 [ 1318.56534485    17.73588791   547.13882607]
 [ 1494.65174222   -28.46579553   441.21386497]]",0,1,0,"[222.82764781132295, 216.52081809480075, 201.66084902522, 192.63822750804567, 188.74042677138783, 234.26345661139285, 251.20119135888453, 275.64360611931085, 204.95454296769844, 327.3857720239813, 229.6564964740649, 215.93439115042247, 222.49506337400757, 255.10228077346136, 206.83850347863253, 210.2468613747064, 223.282823537908, 191.92293795465702, 277.1861479202005, 214.98628292144707, 302.2735109962006]"
2,"[[ 1259.57645063 -1811.11541857   150.68598407]
 [ 1276.53422297 -1463.55492528   227.22139177]
 [ 1117.33258231 -1457.51037017   257.57479333]
 [ 1011.16710431 -1176.02709487   366.2893016 ]
 [  939.12376328  -926.8333534    357.85304781]
 [ 1433.65952405 -1467.2653155    185.9207643 ]
 [ 1498.31495715 -1164.54394426   104.63858415]
 [ 1416.33743018  -954.26249611     5.28542313]
 [ 1123.904022    -916.18096314   292.46018522]
 [ 1008.28360101  -495.7322468    158.27963839]
 [ 1204.0209821   -169.19896483   333.55532338]
 [ 1360.60756216  -893.15412844   183.1218432 ]
 [ 1257.12980952  -448.84886213    86.13576534]
 [ 1271.27744698   -44.00921452   117.07315657]
 [ 1239.77274893  -902.55363276   232.20457368]
 [ 1260.65134655 -1199.52831509   253.8378804 ]
 [ 1257.17147315 -1615.42249191   190.16068348]
 [  906.95662236  -832.50966005   355.96734238]
 [ 1404.55912853  -892.68229691   -34.27226354]
 [ 1118.08429982   -59.89434093   282.5361174 ]
 [ 1192.55670068   -18.08016497   -13.87301692]]",0,1,0,"[185.301967359421, 211.27570552573007, 175.08300747677796, 149.9077981647243, 140.16052801476454, 244.09026827270722, 482.30164430317546, 676.044690700161, 213.86061154520445, 184.80664819095117, 413.975859385982, 231.19369716738896, 165.06523831249453, 96.2946062281957, 227.6350875136642, 218.14206686937104, 203.15421360589846, 124.65782268932311, 779.0912347464032, 436.66006941105854, 23.9416576257078]"
2,"[[ 1076.13477514 -1784.9243743   -218.61956509]
 [ 1065.37897717 -1470.68836174  -133.22220638]
 [  943.89451887 -1433.56673516   -60.37950655]
 [  865.4018687  -1141.029323      20.58187622]
 [  803.48305532  -891.52652748   -41.79469419]
 [ 1189.73650095 -1476.29957625  -218.48487476]
 [ 1044.48148118 -1327.79238129  -510.77110066]
 [  894.79031033 -1384.40785014  -562.354365  ]
 [  910.19510612  -924.23456141   -99.74543697]
 [  826.5171682   -462.34870115  -256.04812794]
 [  801.98087092   -70.50873656  -288.34817525]
 [ 1129.94503573  -908.81696697  -213.86343338]
 [ 1092.07600689  -446.90589162  -243.75462807]
 [ 1218.68613186  -124.67398231   -44.56794894]
 [ 1012.51608501  -915.67391373  -159.37612851]
 [ 1042.87753445 -1186.85834663  -135.02403989]
 [ 1055.32784935 -1592.38369772  -174.82887429]
 [  785.54641596  -804.24069228   -65.94422738]
 [  826.53353627 -1415.05148316  -537.60120605]
 [  681.49336006   -52.1246861   -392.42306672]
 [ 1168.97162803   -22.196877    -159.6008898 ]]",0,1,0,"[204.83747459908454, 197.18411142126763, 180.80814286461523, 195.55865819679528, 214.18045929982412, 230.93237639756782, 271.4716385793705, 335.9316030915596, 130.5685908491605, 65.67798834794317, 18.352167785507387, 176.32854364686133, 208.6958163042452, 318.5732497976138, 152.50619370373366, 168.8870348939747, 211.67110723592896, 241.6679890251758, 355.17374105014557, 43.41628821691314, 337.96279012564446]"
2,"[[  877.53912412 -1835.10562973  -552.53533064]
 [  874.18790847 -1518.93304066  -461.78339449]
 [  775.87304828 -1500.35273629  -365.02256144]
 [  676.19570973 -1190.46835823  -276.33945684]
 [  593.4706773   -933.57495462  -377.93934908]
 [  961.35664276 -1510.5399448   -573.69245202]
 [  778.02375016 -1379.72626357  -842.68132656]
 [  568.2755778  -1463.38994556  -850.1343067 ]
 [  783.55116719  -956.00671351  -360.75795176]
 [  762.79211958  -446.45164695  -410.55945725]
 [  815.30527839   -57.88882262  -372.13017974]
 [  957.48327577  -945.54157257  -526.46055683]
 [  883.38123834  -446.24458507  -583.30411829]
 [  908.2136089    -53.28961448  -535.50667254]
 [  864.1482269   -950.96014048  -446.06742672]
 [  877.80748646 -1222.56142509  -443.10075086]
 [  846.87369264 -1629.14675237  -486.72318796]
 [  550.07793239  -858.6282843   -411.59644588]
 [  482.61994218 -1503.7747954   -849.73390937]
 [  703.96566361   -14.97674327  -482.88080506]
 [  831.1679748    -32.56699636  -666.90118529]]",1,2,0,"[33.35347084944669, 26.75274062578603, 29.674694853513387, 49.548241767408996, 59.19722903514543, 25.894050357130524, 29.1759546738183, 21.67548883228798, 8.084375907758178, 8.71228685845726, 6.939957251717216, 1.7120674748804967, 15.784432125680452, 9.255064814944022, 5.359432982936566, 16.39214904576726, 31.808719531623552, 68.75697472817997, 27.6603260566556, 11.95656279549055, 13.839340349461644]"
2,"[[  909.41960536 -1825.30313345  -456.42028728]
 [  898.15391877 -1507.04441244  -400.68261081]
 [  797.91119652 -1480.48045567  -305.97123507]
 [  721.56962496 -1170.56267866  -227.53959844]
 [  648.91538581  -912.83378242  -305.86997036]
 [  984.04922547 -1498.06803501  -512.32813724]
 [  794.28660798 -1403.94930604  -782.81334346]
 [  584.77487576 -1477.44697167  -778.95393129]
 [  784.42106755  -947.96927566  -351.82418435]
 [  754.08004262  -446.39117114  -403.58852059]
 [  812.84867092   -51.39820736  -370.8801987 ]
 [  958.76163045  -944.40272036  -513.38558352]
 [  899.0106284   -448.45149788  -577.88285049]
 [  912.19275456   -61.64560781  -517.06295076]
 [  864.89284776  -945.65268707  -436.27459465]
 [  890.13828775 -1211.76078205  -410.16653785]
 [  877.20570914 -1619.56743021  -421.48516007]
 [  615.60062538  -837.78845998  -335.4329092 ]
 [  506.35607183 -1517.97654834  -767.56275157]
 [  692.48885212   -18.3296811   -479.21500893]
 [  833.80824765   -46.15214636  -677.11989658]]",1,2,0,"[25.797908669777254, 18.777068491827652, 15.719934030909686, 4.988046333580449, 9.720085863956868, 20.355519549824827, 26.85129672624989, 20.945952865004863, 2.1628579654670266, 1.1794396187108003, 1.975177097761819, 7.961979841597379, 6.370304287493433, 5.543734581162096, 3.3688994232326617, 9.6628351293512, 21.069965483031933, 12.883433645258256, 21.497032573713895, 6.818163433948276, 12.306639017777464]"
2,"[[  934.23699758 -1818.25833854  -472.09815131]
 [  916.49053905 -1503.00131241  -409.79733151]
 [  813.61723216 -1481.14134181  -315.74303862]
 [  726.55562564 -1170.41983797  -236.6760493 ]
 [  639.63849794  -915.73540623  -324.71211203]
 [ 1003.1228546  -1490.95861536  -517.6519604 ]
 [  821.13747909 -1404.10049081  -794.97000061]
 [  605.66277555 -1475.88858024  -791.98333824]
 [  783.90141958  -950.0687805   -363.71022132]
 [  754.8174309   -447.31167988  -418.31009946]
 [  813.97894325   -53.01802495  -376.99486949]
 [  966.2546843   -941.71064552  -516.12256509]
 [  905.35000742  -449.07843509  -580.96903375]
 [  917.73646249   -61.6627965   -524.91089173]
 [  868.22635478  -945.16564061  -443.26720234]
 [  899.3932917  -1208.98314194  -417.41995924]
 [  897.39774021 -1613.54868226  -429.65779148]
 [  603.47435575  -842.14006285  -353.46715573]
 [  527.68504008 -1515.29372834  -775.94068733]
 [  699.28987495   -18.81283861  -486.55524754]
 [  846.09809863   -46.79474017  -683.45847914]]",1,2,0,"[10.371252831033868, 7.112382393140421, 7.159595563665806, 14.090970361139059, 10.096573758980938, 8.973826339899052, 7.545251205952069, 6.924383504973251, 5.500478782024461, 4.514492645268989, 5.962526724902102, 6.585501195791684, 4.424142116521055, 4.620230748611752, 5.703180141469978, 7.41631825517563, 10.028757816310488, 9.811714603876906, 9.022604695215646, 5.061368468573921, 8.811666556060203]"
